youtube_id,season,episode,name,actors
OUoyG4BFsqI,1,1,האודישנים,"1,2,3,4,5,6,7"
_RElfzvU0tk,1,1,ביה״ס קינמון - מחזיק המפתחות,"1,2,3,4,5,6,7"
,1,1,פופקורן בקולנוע,"1,2,3,4,5,6,7"
Rhm0TL_m7kY,1,1,בואו נתגייס למען,"1,2,3,4,5,6,7"
-Vx23BYUHL0,1,2,מקהלת השתיקה יפה להם,"1,2,3,4,5,6,7"
,1,2,זמר עם גיטרה - שיר חרוזים,
nmsiUCqAzCw,1,2,כבוד הרב המקובל,"1,2"
,1,2,טוק שואו משפחתי,
YXzrJJbOF9Y,1,2,ביה״ס קינמון - רחמים לא יודע לקרוא,"1,2,3,4,5,6,7"
8nbdTeiWfFY,1,2,הג׳ולה מעפולה,"4,6"
pvkKZyMuCIU,1,2,אנחנו שלושה,"4,5,7"
,1,3,יואל החמוד,6
nUnKA6AWVtk,1,3,קליעות עונשין,"1,2"
Rj_78cRy7yg,1,3,אחרי שנתיים ביחד -מתגרשים,"4,6"
,1,3,הלו אני מדבר אליך,"3,4"
KMOsW5t0RoY,1,3,ביה״ס קינמון - השביתה,"1,2,3,4,5,6,7"
,1,3,אדיר מילר סטנדאפ,3
3nqXnBAIMvo,1,3,ההורים של יפתח,"3,4,7"
VQ2x66v8bFc,1,3,אשת לוט,"1,2"
,1,3,שיר - תקוע לי פרח בתחת,"4,5,7"
,1,4,משה פלאפון מצלצל,
,1,4,הזמר עם הגיטרה - סגנונות מוזיקליים,
23JXpst-RRI,1,4,מרחב מחיה,"1,2,3,4,5,6,7"
,1,4,הטייסת הראשונה בצה״ל,
6mjVGcukHVY,1,4,ביה״ס קינמון - המזוודה,"1,2,3,4,5,6,7"
,1,4,קטע מוזיקלי - טלי ושגית  הספסל,
,1,4,גנבו לי את האוטו,
9MpGM-4K4cA,1,4,יצאנו לטייל בארץ ישראל,"4,5,7"
,1,5,אסירים,
,1,5,קטע מוזיקלי - גורי מתופף,
N__mICxKE9o,1,5,המחזירה בתשובה,"4,6"
,1,5,הפסטיגל בכלא נווה תרצה,
Fvw0PGNiqFE,1,5,ביה״ס קינמון - תחרות העובד המצטיין,"1,2,3"
,1,5,הזמר עם הגיטרה - פיצול אישיות,
,1,5,רותם וקובאץ בצבא,
BNs5VZjw5VY,1,5,השיר שלי,"4,5,7"
,1,6,שוד בנק,
,1,6,דוד ותקווה - דוד רעב,
,1,6,פרידה בשירים,
2oDIDYRNzVc,1,6,ביה״ס קינמון - תקועים במקלט,"1,2,5,6"
q6doR3WPIAc,1,6,יום הולדת לגבי,"3,4,7"
,1,6,משפט רצח נתעב,
,1,6,עובדים במשרד פרסום,
pf7WXkSUMCw,1,6,שיר - ביחד שנתיים,"4,5"
,1,7,נדב וההורים בדיסנילנד,"1,2,6"
,1,7,הזוכה בלוטו,2
m4AHtwoTbtQ,1,7,איפה החומר,"4,5"
9gtSve-6b84,1,7,ביה״ס קינמון - חישי מאוהב,"1,2,3,4,5,6,7"
,1,7,הזמר עם הגיטרה - פשוט אין מילים,"1,4"
,1,7,הקולנוע כאספקלריה,"3,6"
,1,7,הקיבוצניק (חנן לדרמן),
,1,7,המורות - טקס סיום המחזור,"4,5,7"
ymMjWzd11aE,1,8,כיפה אדומה,"5,6"
,1,8,חדשות בלי דפים,
,1,8,עקידת יצחק,
9YxSv-zLacE,1,8,ביה״ס קינמון - הגירים הצבעוניים,"1,2,3,4,5,6,7"
,1,8,תיקי תיקי מתראיינת,
RRmZ2ZVfIfk,1,8,שלך הכלב,"1,2,3"
0bYiS7NCZvk,1,8,שיר - אנחנו מפסידים כאן כסף,
Mz-TiTzvA3M,1,9,ציפי וההורים - הצגה,"4,5,7"
,1,9,אדם וחווה,
,1,9,יוז׳י עושה בגרות בהסטוריה,
,1,9,תיאטרון כבקשתכם,
,1,9,זקנים,
Xbd6X62vOYI,1,9,ביה״ס קינמון - יום כיף בבריכה,"1,2,3,4,5,6,7"
,1,9,סשה בבית החולים,
,1,9,רונן בחוג הישרדות,
ndEMXR4pEhg,1,9,למה אין שלום,"2,4,5"
11gwT4-n_oM,1,10,השבעה של ז׳אנק,"1,2,3,4,6"
wshvbbbp1Zo,1,10,שירותי הטלפון החדשים,"1,2,3,4,5,6,7"
,1,10,הזמר עם הגיטרה - מזלזלים בי,
R4RT2yh-hns,1,10,גן שולה - מסיבת סיום,"4,5,7"
soNgqJrl5DQ,1,10,קינמון - רחמים יוצא לחופש,"1,2"
,1,10,מיקי ומיני מאוס,
Bi7bl3dMeV8,1,10,קוקו במועדון המדוזה - ליטל,"1,3"
